"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2015",Washington,Woodland,"143 Whalen Road",1,0,N/A
"December 31, 2015",Pennsylvania,Philadelphia,"300 block of South 16th Street",0,0,N/A
"December 31, 2015",Georgia,Columbus,"500 block of Farr Road",0,2,N/A
"December 31, 2015",Florida,"Daytona Beach","971 West International Speedway Boulevard",0,2,N/A
"December 31, 2015",California,Seaside,"Kalborn Road",0,1,N/A
"December 31, 2015",California,"Los Angeles","2200 block of Batson Avenue",4,0,N/A
"December 29, 2015",Tennessee,Columbia,"Wentzel Lane",1,0,N/A
"December 29, 2015",Texas,Pasadena,"Lily Street",0,1,N/A
"December 29, 2015",Michigan,Taylor,"8000 block of Oak Street",0,1,N/A
"December 29, 2015",Florida,Orlando,"Dogwood Drive",0,1,N/A
"December 29, 2015","New York",Tonawanda,"749 Sheridan Drive",0,0,N/A
"December 29, 2015",Texas,Houston,"3427 Jorns",1,0,N/A
"December 28, 2015",Ohio,"Dayton (Trotwood)","3200 block of Atlas Road",1,0,N/A
"December 28, 2015",Ohio,Columbus,"40 block of Rodgers Avenue",1,0,N/A
"December 28, 2015","North Carolina","Watauga (county)",N/A,0,0,N/A
"December 28, 2015","North Carolina",Wilmington,"200 block of Dixie Avenue",0,0,N/A
"December 28, 2015",Texas,"College Station","1500 block of Holleman Drive",1,0,N/A
"December 28, 2015",Georgia,Lawrenceville,"1907 Riverside Parkway",0,1,N/A
"December 28, 2015",Virginia,"Newport News","731 J Clyde Morris Boulevard",0,1,N/A
"December 27, 2015","North Carolina",Albemarle,N/A,1,0,N/A
"December 27, 2015",Wisconsin,Milwaukee,"1567 West National Avenue",0,1,N/A
"December 27, 2015",Missouri,"Cape Girardeau","2800 block of Lynwood Hills Drive",0,0,N/A
"December 27, 2015",Wisconsin,Milwaukee,"South 99th",0,1,N/A
"December 27, 2015","West Virginia",Beckley,"1881 Robert C Byrd Dr",0,0,N/A
"December 27, 2015","North Carolina","Stanly (county)","24000 block of Highway 73",1,0,N/A
"December 27, 2015",Florida,Apopka,"500 block of East Mason Drive",1,0,N/A
"December 26, 2015",Minnesota,Stewartville,"300 block of 5th Avenue S.E.",0,0,N/A
"December 26, 2015",Texas,"Fort Worth","1912 Mitchell Boulevard",2,0,N/A
"December 26, 2015",Georgia,Atlanta,"225 Blackland Rd NW",0,0,N/A
"December 25, 2015","New York","New York (Manhattan)","116th and Morningside",0,2,N/A
"December 25, 2015",Georgia,"Warner Robins","115 Oakridge Drive",1,0,N/A
"December 25, 2015",Utah,"Cache (county)",N/A,0,0,N/A
"December 25, 2015",California,"San Bernardino","484 South Rancho Avenue",0,1,N/A
"December 25, 2015",Texas,Houston,"5000 block of Azalea Trace Drive",0,1,N/A
"December 25, 2015",Texas,Houston,"8925 Richmond Avenue",2,0,N/A
"December 24, 2015",Oklahoma,"Oklahoma City","3000 block of Southwest 50th Street",0,1,N/A
