"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 23, 2017",Indiana,Indianapolis,"21st and Mitthoeffer",0,0,N/A
"August 23, 2017",Florida,"Saint Petersburg","1401 28th St N",0,1,N/A
"August 23, 2017",Tennessee,"Cedar Hill","300 block of Trees Dr",0,1,N/A
"August 22, 2017","New York",Buffalo,"Northland Ave and Humboldt Pkwy",0,0,N/A
"August 22, 2017",Florida,Trenton,N/A,0,1,N/A
"August 22, 2017","West Virginia","Charleston (Sissonville)","433 Wolf Pen Drive",1,0,N/A
"August 21, 2017",Tennessee,"Johnson City","2200 block of Signal Dr",0,2,N/A
"August 21, 2017",Illinois,Chicago,"1400 block of N Lockwood",1,0,N/A
"August 21, 2017",Ohio,Steubenville,"301 Market Street",1,1,N/A
"August 21, 2017",Kansas,Wichita,"2000 block of W MacArthur",0,4,N/A
"August 20, 2017",Alabama,Theodore,"5750 Alice Lane",1,0,N/A
"August 20, 2017",Florida,Ocala,"2800 Block of NE Seventh St",0,1,N/A
"August 20, 2017",Arkansas,"Little Rock","20 block of Appleseed Cove",0,1,N/A
"August 20, 2017",Louisiana,"Port Barre","Hwy 190",0,0,N/A
"August 20, 2017",Tennessee,"Roan Mountain","Buck Mountain Road",0,1,N/A
"August 19, 2017","New York",Centereach,"11784 1770 Middle Country Rd",0,0,N/A
"August 19, 2017","South Carolina",Chester,"Baton Rouge Road",1,0,N/A
"August 18, 2017",Missouri,Annapolis,N/A,1,0,N/A
"August 18, 2017","New York","Corona (Queens)","104-46 164 St",1,0,N/A
"August 17, 2017",Minnesota,"Inver Grove Heights","9034 Cahill Ave",0,1,N/A
"August 17, 2017","New Mexico",Albuquerque,"1700 block of Girard SE",0,0,N/A
"August 17, 2017",Arkansas,"Little Rock","11324 Arcade Drive",0,0,N/A
"August 16, 2017",Colorado,"Colorado Springs","1500 block of Arch St",0,0,N/A
"August 16, 2017",California,Escondido,"15000 block of Highland Valley Rd",0,1,N/A
"August 16, 2017",Florida,Jacksonville,"1500 Lane Ave",0,1,N/A
"August 16, 2017",Louisiana,"Baton Rouge","8770 Elm Grove Garden Dr",0,1,N/A
"August 16, 2017",Tennessee,Knoxville,"2911 Hillside Dr",0,2,N/A
"August 16, 2017",Texas,"Fort Worth","1400 block of Fairmount Ave",1,1,N/A
"August 15, 2017",Alaska,Anchorage,"3700 block of Core Ct",1,0,N/A
"August 15, 2017",Ohio,Cincinnati,"70th St and Fairpark Ave",0,1,N/A
"August 15, 2017",Illinois,Creston,N/A,0,0,N/A
"August 15, 2017",Georgia,Covington,"Spring Road",0,0,N/A
"August 15, 2017",Ohio,Cleveland,"1500 block of Ardoyne",0,1,N/A
"August 15, 2017",Louisiana,"New Orleans","8500 block of N 1-10 Service Rd",0,1,N/A
"August 14, 2017","New York",Brooklyn,"584 Gates Ave",0,1,N/A
"August 14, 2017",Texas,Houston,"12640 Briar Forest Dr",0,1,N/A
"August 14, 2017",Florida,"Lehigh Acres","SR 82 and Gregory Ave S",0,0,N/A
"August 14, 2017",Florida,Summerfield,"10420 SE 158th Pl",1,0,N/A
"August 14, 2017","South Carolina","North Charleston","Park Gate Dr",1,0,N/A
"August 13, 2017","South Carolina",Chapin,"100 block of Millers Branch Road",0,1,N/A
"August 13, 2017",Florida,Chipley,"1838 Pettis Rd",0,1,N/A
"August 13, 2017",Louisiana,Sulphur,"W Verdine St",0,1,N/A
"August 13, 2017",Illinois,Chicago,"10200 block of S Ewing",3,0,N/A
"August 13, 2017",Virginia,Hampton,"1st block of Kilverstone Way",0,1,N/A
"August 13, 2017",Florida,"Cape Coral","1200 Block of NE 18th Pl",0,0,N/A
"August 13, 2017",Georgia,"Warner Robins","200 block of Northlake Drive",1,0,N/A
"August 13, 2017",Pennsylvania,Altoona,"Hench Cir",0,0,N/A
"August 13, 2017",Florida,Orlando,"7300 Curry Ford Rd",0,1,N/A
"August 12, 2017",Alabama,Sterrett,"300 block of Highway 437",1,0,N/A
"August 12, 2017",Texas,"Bexar (county)",N/A,0,0,N/A
"August 12, 2017",Kansas,Wichita,"2339 S Oliver St",0,1,N/A
"August 11, 2017",Wisconsin,"Hortonville (Medina)",N/A,0,0,N/A
"August 11, 2017",Wisconsin,"La Crosse","417 S 8th St",0,1,N/A
"August 11, 2017",Nebraska,Lincoln,"100 block of Sante Fe Trl",0,1,N/A
"August 11, 2017",Alabama,"Birmingham (Tarrant)","1434 Thomason Ave",1,0,N/A
"August 11, 2017",Kentucky,Paris,"Rogers Mill Rd",0,1,N/A
"August 10, 2017",Nebraska,"South Sioux City","2205 Dakota Ave",0,0,N/A
"August 10, 2017",Louisiana,Ponchatoula,"Louisiana 22 W",1,0,N/A
"August 9, 2017",Oklahoma,"Oklahoma City","2245 12th St",0,1,N/A
"August 9, 2017",Tennessee,Springfield,"Hyde Rd",0,0,N/A
