State,Unrestricted,Shall-issue,May-issue,No-issue,"Non-Resident
Permits Available",Permit Reciprocity[26],Jurisdiction,Campus_Carried
Alabama,,Yes,,,No,Yes,Alabama,Depend
Alaska,Yes,Yes,,,No,Yes,Alaska,Depend
American Samoa,,,,Yes,No,No,Arizona,Depend
Arizona,Yes,Yes,,,Yes,Yes,Arkansas,Yes
Arkansas,,Yes,,,No,Yes,California,No
California,,,Yes,,No,No,Colorado,Yes
Colorado,,Yes,,,No,Yes,Connecticut,Depend
Connecticut,,,Yes,,Yes,No,Delaware,Depend
Delaware,,,Yes,,Yes,Yes,District of Columbia,Depend
District of Columbia,,,Yes,,Yes,No,Florida,Limited
Florida,,Yes,,,Yes,Yes,Georgia,Yes
Georgia,,Yes,,,No,Yes,Hawaii,Depend
Guam,,Yes,,,No,No,Idaho,Yes
Hawaii,,,Yes,,No,No,Illinois,No
Idaho,Yes,Yes,,,Yes,Yes,Indiana,Depend
Illinois,,Yes,,,Yes,Yes,Iowa,Depend
Indiana,,Yes,,,Yes,Yes,Kansas,Yes
Iowa,,Yes,,,Yes,Yes,Kentucky,Limited
Kansas,Yes,Yes,,,No,Yes,Louisiana,No
Kentucky,,Yes,,,No,Yes,Maine,Depend
Louisiana,,Yes,,,No,Yes,Maryland,Depend
Maine,Yes,Yes,,,Yes,Yes,Massachusetts,No
Maryland,,,Yes,,Yes,No,Michigan,No
Massachusetts,,,Yes,,Yes,No,Minnesota,Limited
Michigan,,Yes,,,No,Yes,Mississippi,No
Minnesota,,Yes,,,Yes,Yes,Missouri,Depend
Mississippi,Yes,Yes,,,No,Yes,Montana,Depend
Missouri,Yes,Yes,,,No,Yes,Nebraska,Limited
Montana,Yes,Yes,,,No,Yes,Nevada,Depend
Nebraska,,Yes,,,No,Yes,New Hampshire,Depend
Nevada,,Yes,,,Yes,Yes,New Jersey,No
New Hampshire,Yes,Yes,,,Yes,Yes,New Mexico,No
New Jersey,,,Yes,,Yes,No,New York,No
New Mexico,Yes,Yes,,,No,Yes,North Carolina,Limited
New York,,,Yes,,No,No,North Dakota,Limited
North Carolina,,Yes,,,No,Yes,Ohio,No
North Dakota,Yes,Yes,,,Yes,Yes,Oklahoma,Limited
Northern Mariana Islands,,,,Yes,No,No,Oregon,No
Ohio,,Yes,,,Yes,Yes,Pennsylvania,Depend
Oklahoma,Yes,Yes,,,No,Yes,Rhode Island,Depend
Oregon,,Yes,,,Yes,No,South Carolina,Limited
Pennsylvania,,Yes,,,Yes,Yes,South Dakota,Depend
Puerto Rico,,,Yes,,No,Yes,Tennessee,Yes
Rhode Island,,Yes,Yes,Yes,Yes,Yes,Texas,Yes
South Carolina,,Yes,,,Yes,Yes,Utah,Yes
South Dakota,,Yes,,,No,Yes,Vermont,Depend
Tennessee,,Yes,,,Yes,Yes,Virginia,Depend
Texas,,Yes,,,Yes,Yes,Washington,Depend
United States Virgin Islands,,,Yes,,No,Yes,West Virginia,Depend
Utah,,Yes,,,Yes,Yes,Wisconsin,No
Vermont,Yes,,,,No,N/A,Wyoming,No
Virginia,,Yes,,,Yes,Yes,,
Washington,,Yes,,,Yes,Yes,,
West Virginia,Yes,Yes,,,No,Yes,,
Wisconsin,,Yes,,,No,Yes,,
Wyoming[25],Yes,Yes,,,No,Yes,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
https://en.wikipedia.org/wiki/Concealed_carry_in_the_United_States,,,,,,,,
https://en.wikipedia.org/wiki/Campus_carry_in_the_United_States,,,,,,,,
