"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 12, 2017",California,"Los Angeles","2300 block of Hercules Dr",0,0,N/A
"August 11, 2017",Wisconsin,"Hortonville (Medina)",N/A,0,0,N/A
"August 11, 2017",Wisconsin,"La Crosse","417 S 8th St",0,1,N/A
"August 11, 2017",Oregon,Portland,"E Burnside St & NE 141st Ave",0,1,N/A
"August 11, 2017",Nebraska,Lincoln,"100 block of Sante Fe Trl",0,1,N/A
"August 11, 2017",Florida,Ocala,"500 Block of Marion Oaks Ln",0,0,N/A
"August 11, 2017","New Jersey","Mays Landing","1932 S Cologne Ave",0,0,N/A
"August 11, 2017",Indiana,Evanston,"1715 Theatre Dr",0,1,N/A
"August 11, 2017",Illinois,Chicago,"10600 block of S Avenue B",0,1,N/A
"August 11, 2017",Virginia,"Virginia Beach","1300 block of Church St",0,0,N/A
"August 10, 2017",Louisiana,"New Orleans (Gentilly)","5300 block of Pasteur Blvd",0,1,N/A
"August 9, 2017",Indiana,Indianapolis,N/A,0,0,N/A
"August 9, 2017",Massachusetts,Waltham,"212 Bacon St",0,0,N/A
"August 9, 2017","North Carolina","Gastonia (Ranlo)","Crossway Cir",0,0,N/A
"August 9, 2017",Pennsylvania,Philadelphia,"200 block of W Mt Airy Ave",0,0,N/A
"August 8, 2017","North Carolina",Charlotte,"4900 block of Polo Gate Ln",0,1,N/A
"August 8, 2017",Illinois,"East Saint Louis","1200 block of Market",1,0,N/A
"August 8, 2017",Texas,"San Antonio","400 block of Millwood",0,0,N/A
"August 8, 2017",Pennsylvania,"Plymouth Meeting","300 block of Cambridge Rd",0,0,N/A
"August 8, 2017","West Virginia","Dry Creek","Dry Creek Rd",0,0,N/A
"August 7, 2017",Kentucky,Louisville,"2300 block of Terrier Court",0,0,N/A
"August 7, 2017",Alabama,Atmore,"170 Broad St",1,1,N/A
"August 7, 2017",Georgia,Columbus,"5300 block of Kingsberry Street",1,0,N/A
"August 7, 2017",Mississippi,Columbus,"2219 15th Ave N",0,1,N/A
"August 7, 2017",Mississippi,Columbus,"Read Ave",0,0,N/A
"August 7, 2017",Illinois,Monee,"W Court St and S Sunrise Dr",0,0,N/A
"August 7, 2017",Mississippi,Tupelo,"County Road 659",0,1,N/A
"August 7, 2017",Oklahoma,Tulsa,"1000 block of N St Louis Ave",0,1,N/A
"August 7, 2017",Massachusetts,Attleboro,"S Main St",0,0,N/A
"August 6, 2017",Pennsylvania,Pittsburgh,"200 block of Conestoga",1,0,N/A
"August 6, 2017",Nebraska,Lincoln,"600 block of N 58th St",0,0,N/A
"August 6, 2017",Indiana,Logansport,"400 block of Hanna",2,0,N/A
"August 6, 2017",Arkansas,"Little Rock","2115 Howard St",1,2,N/A
"August 6, 2017",Washington,Puyallup,"209 21st Ave SW",0,1,N/A
"August 6, 2017",Georgia,Statesboro,"Robinhood Trail",0,1,N/A
"August 6, 2017",Texas,Baytown,"S Pruett St and W Republic St",1,1,N/A
"August 5, 2017",Florida,Shalimar,"43 Fawn Ln",0,1,N/A
"August 5, 2017","New Jersey","Mays Landing","Yorktown Pl",0,0,N/A
"August 5, 2017",Ohio,Akron,"800 block of Carroll St",0,0,N/A
"August 5, 2017",Illinois,"Mount Vernon","900 block of York Rd",0,0,N/A
"August 5, 2017",Florida,Lakeland,"5436 Deeson Rd",1,0,N/A
"August 5, 2017",Florida,Maitland,"Ventris Ct",0,0,N/A
"August 5, 2017","New York","Staten Island","St Johns Ave and Bay St",0,2,N/A
"August 4, 2017",Florida,Williston,"4091 NE 212 Ct",1,1,N/A
"August 3, 2017",California,Brea,"580 block of N Brea Blvd",0,0,N/A
"August 3, 2017",Georgia,Marietta,"98 Griggs Street",1,0,N/A
