"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2016",Florida,Pensacola,"3 Talladega Trail",1,1,N/A
"December 31, 2016","New York",Huntington,"Bardwell St",0,0,N/A
"December 31, 2016",California,Sacramento,"1900 block of Expedition Way",0,1,N/A
"December 31, 2016",Indiana,"Fort Wayne",N/A,0,0,N/A
"December 31, 2016",Massachusetts,Worcester,"2 Blodgett Place",0,0,N/A
"December 31, 2016",Oklahoma,Norman,"1800 Block of Virginia St",1,0,N/A
"December 30, 2016",California,"San Francisco","Northridge and Harbor Road",0,1,N/A
"December 30, 2016",Tennessee,Antioch,"3606 Hamilton Church Road",0,0,N/A
"December 30, 2016",Florida,Destin,"405 Harbor Blvd",0,1,N/A
"December 30, 2016",Tennessee,Nashville,"1000 Amberwood Cir",0,0,N/A
"December 30, 2016",Delaware,Magnolia,"Flint Dr",0,1,N/A
"December 30, 2016","South Carolina","Myrtle Beach","S Myrtle St",0,1,N/A
"December 30, 2016",Illinois,Belleville,"2913 West Blvd",1,0,N/A
"December 30, 2016",Virginia,Danville,"300 block of Wooding Avenue",0,1,N/A
"December 30, 2016",Pennsylvania,Butler,"10th St",1,0,N/A
"December 29, 2016",Pennsylvania,"Upper Darby","100 block of Pennock Ave",0,0,N/A
"December 29, 2016","South Carolina",Conway,"Leonard Ave",0,2,N/A
"December 29, 2016",Florida,Orlando,"Meadowmouse Street",0,1,N/A
"December 29, 2016","New York","Huntington Station (South Huntington)","Magerus Street",0,0,N/A
"December 29, 2016",Missouri,"O Fallon","801 Belleau Creek Road",1,0,N/A
"December 29, 2016",Indiana,Indianapolis,"8055 Bash Street",1,0,N/A
"December 29, 2016","Rhode Island",Providence,"Gallup St",0,0,N/A
"December 29, 2016",Massachusetts,Worcester,"Lovell St",0,0,N/A
"December 29, 2016",Texas,Longview,"2100 block of Airline Road",0,0,N/A
"December 29, 2016","New York",Brooklyn,"440 Montauk Ave",0,0,N/A
"December 29, 2016",Florida,Miami,"6300 block of SW 139th Court",0,1,N/A
"December 28, 2016",Florida,"Orange (county)","6000 block of Nashua Avenue",0,0,N/A
"December 28, 2016","North Carolina",Burlington,"1012 S Main Street",1,0,N/A
"December 28, 2016",Florida,"Tampa (Temple Terrace)","11500 Summit West",1,1,N/A
"December 28, 2016","North Carolina","Bladen (county)","Ronald Britt Road",0,0,N/A
"December 28, 2016",Illinois,"Machesney Park","1028 Minns Drive",0,3,N/A
"December 28, 2016","New York",Bronx,"Pilot Street",0,1,N/A
"December 28, 2016",Tennessee,Memphis,"4600 block of Deep Brook Road",0,1,N/A
"December 28, 2016",Louisiana,Hammond,"54 Whitmar Drive",1,0,N/A
"December 28, 2016",California,"San Jose","Peach Court",0,2,N/A
"December 28, 2016",Texas,"San Antonio","800 block of South Brownleaf Drive",0,3,N/A
"December 28, 2016",California,Stockton,"8000 block of Mariners Drive",0,0,N/A
"December 28, 2016",Montana,"Wolf Creek","4000 block of Little Wolf Creek Road",0,1,N/A
"December 28, 2016","South Carolina",Sumter,"100 block of Brentwood Lane",0,1,N/A
"December 27, 2016",Florida,"New Port Richey","Ohio Avenue",0,0,N/A
"December 27, 2016",Ohio,Canton,"Scott Avenue",0,1,N/A
"December 27, 2016",Arkansas,"Hot Springs National Park (Hot Springs)","Mill Creek Rd",0,0,N/A
"December 27, 2016",Texas,"San Antonio","150 block of Farrel Street",0,1,N/A
"December 27, 2016",Louisiana,"New Orleans","800 block of Fern Street",0,0,N/A
"December 27, 2016",Pennsylvania,Washington,"Scott Avenue",0,1,N/A
"December 27, 2016",Wisconsin,Beloit,"800 block of Wisconsin Avenue",0,0,N/A
