"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 24, 2017",Indiana,Indianapolis,"5900 block of Ann Marie Way",0,1,N/A
"August 24, 2017","South Carolina",Charleston,"412 King Street",1,1,N/A
"August 24, 2017",California,"Los Angeles","6200 block of San Pedro Street",1,0,N/A
"August 24, 2017",California,"Lemon Grove","Rebecca Way",1,0,N/A
"August 24, 2017",Tennessee,Jellico,"S Myrtle St",0,1,N/A
"August 24, 2017",Michigan,Waterford,"2000 block of Sunhill Dr",1,0,N/A
"August 23, 2017",California,Durham,"1900 block of Durham-Dayton Hwy",1,0,N/A
"August 23, 2017",Kansas,Olathe,"Park St and Keeler St",1,0,N/A
"August 23, 2017",Georgia,Savannah,"600 block of Draper St",0,1,N/A
"August 23, 2017",Florida,Jacksonville,"Beach Blvd",0,1,N/A
"August 22, 2017","New Mexico",Albuquerque,"Irving and Unser NW",1,0,N/A
"August 22, 2017",California,Tarzana,"5500 block of Lindley Avenue",2,0,N/A
"August 22, 2017",California,"Santa Maria (Orcutt)","5300 block of Bradley Road",1,0,N/A
"August 22, 2017",Florida,"Daytona Beach","556 Bellevue Ave",1,0,N/A
"August 22, 2017",Texas,"Fort Worth","300 E Loop 820 S",0,1,N/A
"August 22, 2017",Missouri,"Saint Louis","5200 block of Ridge Ave",1,0,N/A
"August 21, 2017",Colorado,"Colorado City","2900 block of Applewood Drive",1,0,N/A
"August 21, 2017",Wisconsin,Franklin,"Co Rd AB",1,0,N/A
"August 21, 2017",Kentucky,Henderson,"Martin Luther King Jr Ave and Adams St",0,1,N/A
"August 21, 2017",Louisiana,Lafayette,"I-10 and Breaux Brg",1,0,N/A
"August 21, 2017",Ohio,Steubenville,"301 Market Street",1,1,N/A
"August 21, 2017","North Carolina",Morganton,"2353 U.S. Highway 70",1,0,N/A
"August 21, 2017",Wisconsin,Pardeeville,"416 Vince St",1,0,N/A
"August 20, 2017","New Jersey",Brick,"Meridian Drive",1,0,N/A
"August 20, 2017",California,Madera,"Avenue 12 and Highway 41",0,1,N/A
"August 20, 2017",Florida,Tampa,"9th Ave and 35th St",0,1,N/A
"August 20, 2017",Florida,Brooksville,"915 Cedar Dr",0,1,N/A
"August 19, 2017",Arkansas,"Searcy (county)",N/A,1,0,N/A
"August 19, 2017",Ohio,Lorain,"4600 block of Oberlin Avenue",2,0,N/A
"August 19, 2017","New Mexico",Albuquerque,"Lomas Blvd NW and 1st St NW",0,1,N/A
"August 19, 2017",Illinois,Chicago,"5600 block of South Artesian",0,1,N/A
"August 19, 2017",Alabama,"Birmingham (Homewood)","40 State Farm Parkway",1,0,N/A
"August 19, 2017",Pennsylvania,Philadelphia,"2500 block of N Alder St",0,1,N/A
"August 18, 2017","New Jersey",Bloomfield,"Greenbrook Drive",1,0,N/A
"August 18, 2017",Pennsylvania,Fairchance,"58 W Church St",1,2,N/A
"August 18, 2017",California,Montebello,"2900 block of W Via Corona",1,0,N/A
"August 18, 2017",Kentucky,Mayfield,"800 block of W Lee St",0,1,N/A
"August 18, 2017",Georgia,Waynesboro,"800 block of Washington Drive",0,1,N/A
"August 18, 2017",Michigan,Gaines,"76th Street and Division Avenue",0,1,N/A
"August 18, 2017",Washington,"Federal Way","1207 S 320th St",0,1,N/A
"August 18, 2017",Florida,Jacksonville,"5176 Seaboard Avenue",1,2,N/A
"August 18, 2017",Nevada,"Carson City","507 N Carson St",0,1,N/A
"August 18, 2017",Oklahoma,Weatherford,"N Bryan St",1,0,N/A
"August 17, 2017","North Carolina",Eden,"Knott Street and New Street",0,1,N/A
"August 17, 2017",Arizona,Phoenix,"2601 E Roosevelt St",1,0,N/A
"August 17, 2017",Kansas,Garfield,US-56,1,0,N/A
"August 17, 2017",Alabama,"Crenshaw (county)","North Carter Road",1,0,N/A
"August 16, 2017",California,Livermore,"1300 block of Via Deste",1,0,N/A
"August 16, 2017",California,"Los Angeles","Imperial Hwy and Slater St",1,0,N/A
"August 15, 2017",Mississippi,Tupelo,"3400 McCullough Blvd",0,1,N/A
"August 15, 2017","New York",Troy,"8th St and Rensselaer St",0,1,N/A
"August 15, 2017",Arizona,Tucson,"S Kolb Rd and I-10",1,0,N/A
"August 15, 2017",Texas,Conroe,"1920 Westview Blvd",0,1,N/A
"August 15, 2017",Georgia,Thomasville,"Magnolia Street and Fern Street",1,0,N/A
"August 14, 2017","North Dakota","Grand Forks","2351 36th Ave S",1,0,N/A
"August 14, 2017","District of Columbia",Washington,"2600 block of Naylor Rd",0,1,N/A
"August 14, 2017",Colorado,"Colorado Springs","3200 block of Bijou Ave",1,0,N/A
"August 14, 2017",Tennessee,Chattanooga,"5017 Rossville Blvd",0,1,N/A
"August 14, 2017",Florida,Jacksonville,"6900 Block of Ortega Woods Dr",1,0,N/A
"August 14, 2017",Washington,Spokane,"3222 S. Glenn Court",0,1,N/A
"August 13, 2017",Georgia,"Mount Airy","US 441 S",1,0,N/A
"August 13, 2017",Illinois,Chicago,"11100 block of S Hermosa",0,1,N/A
"August 13, 2017",Florida,"Hialeah (Miami Lakes)","6425 Miami Lakeway N",1,0,N/A
"August 13, 2017",Pennsylvania,Chester,"520 Edgmont Ave",0,3,N/A
"August 13, 2017",Washington,Kennewick,"Olympia St and 10th Ave",1,0,N/A
"August 13, 2017",Utah,"Salt Lake City","1002 S. State St.",1,0,N/A
"August 13, 2017",Wisconsin,"La Crosse","1011 Joseph Houska Dr",1,0,N/A
"August 13, 2017",Tennessee,Cosby,"Middle Creek Road",1,0,N/A
"August 12, 2017",Missouri,Springfield,"W Division St and N Marjorie Ln",0,1,N/A
"August 12, 2017",Washington,Puyallup,"7400 block of 189th Street Court East",1,0,N/A
"August 11, 2017","North Carolina","Davie (county)",I-40,0,1,N/A
"August 11, 2017",Pennsylvania,Philadelphia,"3100 block of Darien St",1,0,N/A
"August 11, 2017",Texas,Channelview,"900 block of Ashland",1,0,N/A
"August 10, 2017",Tennessee,Jonesborough,"Miller Rd",1,0,N/A
"August 10, 2017",Indiana,Dyer,"81st and Sheffield",1,0,N/A
"August 10, 2017","New York",Brooklyn,"149 Chestnut St",1,1,N/A
"August 10, 2017",California,"Los Angeles","1600 block of Alta Mura Rd",1,0,N/A
"August 9, 2017",Washington,Kent,"23600 block of 104th Avenue Southeast",1,0,N/A
"August 8, 2017",Kansas,"Junction City","1723 McFarland Rd",1,0,N/A
"August 8, 2017","New Mexico",Albuquerque,"Irving and Rainbow",0,1,N/A
"August 8, 2017",California,"Beaumont (Cherry Valley)","9000 block of Oak Glen Rd",0,1,N/A
"August 8, 2017",Illinois,Chicago,"I-94 and E 130th St",1,0,N/A
"August 7, 2017",Pennsylvania,Philadelphia,"2200 block of N Fairhill St",0,1,N/A
"August 7, 2017",Kansas,Wichita,"1300 block of N Wellington Pl",1,0,N/A
"August 7, 2017","New Jersey","North Bergen","1601 Union Turnpike",1,0,N/A
"August 7, 2017",Missouri,"Kansas City","1800 Block of Blue Ridge Blvd",1,0,N/A
"August 7, 2017",Georgia,Cumming,"Carleen Ct",2,0,N/A
"August 7, 2017",Oklahoma,Muskogee,"32nd and Broadway",0,1,N/A
"August 7, 2017",Missouri,Independence,"1800 block of Blue Ridge Blvd",1,0,N/A
"August 6, 2017",Alabama,Clanton,"County Road 254",0,1,N/A
"August 6, 2017",California,"Oakdale (Knights Ferry)","Sonora Rd",0,1,N/A
"August 6, 2017","New Mexico","Sandia Park","Roberts Rd and Frost Rd",0,1,N/A
"August 6, 2017",Missouri,"Kansas City","34th and Prospect",1,0,N/A
"August 6, 2017",California,"Long Beach","800 block of Washington Pl",0,1,N/A
"August 6, 2017",Texas,Pointblank,"6899 US-190",0,1,N/A
"August 6, 2017",Missouri,"Kansas City","E 34th St and Prospect Ave",1,0,N/A
"August 6, 2017",Missouri,Clinton,N/A,1,1,N/A
"August 6, 2017",Tennessee,"Bon Aqua","Buckner Ridge Rd and Bear Creek Rd",1,0,N/A
"August 5, 2017",California,"Santa Rosa","2490 W Steele Ln",1,0,N/A
"August 5, 2017","New Jersey","Morris Plains","40 E Hanover Ave",2,0,N/A
"August 5, 2017",Montana,Billings,"1200 block of Peony Drive",1,0,N/A
"August 5, 2017",Nevada,"Las Vegas","2075 E Warm Springs",0,1,N/A
"August 5, 2017",Ohio,"New Straitsville","123 Main Street",1,1,N/A
"August 4, 2017","South Carolina","Myrtle Beach (Surfside Beach)","1400 block of Turkey Ridge Rd",1,0,N/A
"August 4, 2017",California,"Los Angeles","800 block of Venice Blvd",1,0,N/A
"August 4, 2017","New Mexico",Albuquerque,"59th Street SW and Lucca Avenue SW",0,1,N/A
"August 4, 2017",Ohio,"Paulding (county)",N/A,1,0,N/A
"August 4, 2017","New Mexico",Albuquerque,N/A,0,1,N/A
"August 4, 2017",California,"Santa Monica","Main St and Strand St",1,1,N/A
"August 4, 2017",Nevada,"Sparks (Spanish Springs)","Calle de la Plata",1,0,N/A
"August 4, 2017",Mississippi,Meridian,"Fred Haguewood Rd",1,0,N/A
"August 4, 2017",California,"San Diego","2000 block of Second Ave",1,0,N/A
"August 4, 2017",Montana,"Deer Lodge",I-90,0,1,N/A
"August 4, 2017",Pennsylvania,Clarendon,"PA-6 and PA-59",1,0,N/A
"August 3, 2017",Ohio,Lima,"200 block of W Michigan Ave",1,0,N/A
"August 3, 2017",Texas,Kress,N/A,1,0,N/A
"August 3, 2017",Georgia,Decatur,"1150 Maple Walk Circle",1,1,N/A
"August 2, 2017",Louisiana,Coushatta,"Banks Street",1,1,N/A
"August 2, 2017",California,Richmond,"3400 block of Richmond Pkwy",1,0,N/A
"August 2, 2017","New Jersey","Waterford Works (Chesilhurst)","124 White Horse Pike",0,1,N/A
"August 2, 2017",Mississippi,Foxworth,"Highway 98 West",0,1,N/A
"August 2, 2017",Florida,Westville,"1050 Rum Road",0,1,N/A
"August 2, 2017","West Virginia","Marion (county)","Parrish Run Rd",1,0,N/A
"August 1, 2017",Nevada,"Las Vegas","4100 block of W Tompkins Ave",1,2,N/A
"August 1, 2017",Indiana,Gary,"W 19th Ave and Hanley St",1,0,N/A
"August 1, 2017",Georgia,Leesburg,"Keyridge Dr",0,1,N/A
"August 1, 2017",Maryland,Catonsville,"6223 Baltimore National Pike",1,0,N/A
"August 1, 2017",California,"Oregon House","9019 Marysville Rd",1,2,N/A
"August 1, 2017","North Carolina","Mount Airy","157 Edwards Drive",1,0,N/A
"August 1, 2017",California,Visalia,"1200 block of N Gowdy",1,0,N/A
"August 1, 2017",Texas,Waco,"23rd St and Olive Ave",1,0,N/A
"July 31, 2017","New York",Brooklyn,"1370 New York Ave",1,0,N/A
"July 31, 2017",Virginia,"Pennington Gap","Hickory Flats Rd",0,1,N/A
"July 31, 2017",Wisconsin,Oshkosh,"300 block of Knapp St",1,0,N/A
"July 31, 2017",Washington,Lacey,"5900 block of Crimson Ct",2,1,N/A
"July 31, 2017",Colorado,"Colorado Springs","3817 Village Rd S",2,2,N/A
"July 31, 2017",Minnesota,"La Crescent","MN 26 and MN 16",0,1,N/A
"July 31, 2017",California,"Los Banos","2241 Gilbert Gonzalez Jr Dr",1,2,N/A
"July 31, 2017","New Mexico",Albuquerque,"Vassar Dr and Phoenix Ave",1,0,N/A
"July 31, 2017","South Dakota","Box Elder","701 Halsey Dr",0,1,N/A
"July 29, 2017",Florida,Kissimmee,"Sinclair Rd",0,1,N/A
"July 29, 2017",Idaho,Melba,"Wilson Creek Road",1,0,N/A
"July 29, 2017",California,Norco,"W Parkridge Ave and 1st St",1,0,N/A
"July 28, 2017","New York","Schenectady (Glenville)","10 Pashley Rd",1,1,N/A
"July 28, 2017",Texas,"Mission (Palmview)","1000 block of N Farm to Market Rd 492",0,2,N/A
"July 28, 2017",Oklahoma,"Oklahoma City","1224 S Meridian Ave",1,0,N/A
"July 28, 2017",Missouri,"Kansas City","44th St and Chestnut Ave",1,0,N/A
"July 28, 2017","New Mexico",Albuquerque,"NM-303 and Desert Rd SW",1,0,N/A
"July 28, 2017",Missouri,"Lees Summit","700 block of NE Tudor Rd",0,1,N/A
"July 28, 2017",Texas,"San Antonio","3300 block of W Woodlawn Ave",0,1,N/A
"July 28, 2017",Alabama,Louisville,"AL 51",0,1,N/A
"July 28, 2017",Arizona,Peoria,"91st and Peoria avenue",0,1,N/A
"July 27, 2017",Louisiana,Homer,N/A,1,0,N/A
"July 27, 2017",Indiana,"Indianapolis (Homecroft)","6649 Madison Ave",1,1,N/A
"July 27, 2017",California,"Los Angeles (Hollywood)","1738 Whitley Ave",1,0,N/A
"July 27, 2017",Louisiana,Monroe,"Rader Drive",0,1,N/A
"July 27, 2017",Washington,Wenatchee,"1128 N Miller St",1,0,N/A
"July 27, 2017",California,"Grand Terrace","12814 Mirado Ave",1,0,N/A
"July 27, 2017",California,Chowchilla,"Alameda Avenue and Fourth Street",1,0,N/A
