"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2016",Florida,"Miami (Cutler Bay)","20549 Southwest 93rd Avenue",1,0,N/A
"December 31, 2016","North Carolina",Morganton,"1419 Havenwood Drive",0,1,N/A
"December 31, 2016",Texas,Houston,"4235 Oak Shadows",1,0,N/A
"December 31, 2016",Ohio,"Newton Falls","Ridge Road",1,0,N/A
"December 31, 2016",Minnesota,Perham,"2nd St Southwest",0,1,N/A
"December 31, 2016",Indiana,Indianapolis,"8300 block of Whipporwill Drive",0,1,N/A
"December 31, 2016",Indiana,Indianapolis,"4006 Newburgh Drive",1,0,N/A
"December 31, 2016",Kentucky,Louisville,N/A,0,1,N/A
"December 31, 2016","New Jersey",Stratford,"Union Ave",1,0,N/A
"December 31, 2016",Kentucky,Louisville,"2300 block of Griffiths Avenue",0,1,N/A
"December 31, 2016",Michigan,Detroit,"13000 block of Kilbourne",0,1,N/A
"December 31, 2016",Georgia,Atlanta,"Boynton Avenue and Martin Street SE",0,0,N/A
"December 31, 2016",Oregon,"Grants Pass","Robertson Bridge Rd",1,0,N/A
"December 31, 2016",Pennsylvania,Greencastle,"400 block of West Baltimore Street",1,0,N/A
"December 31, 2016",Louisiana,Marrero,"1101 Medical Center Blvd",0,1,N/A
"December 31, 2016",Indiana,Chesterton,"6358 N Calumet Rd",0,0,N/A
"December 31, 2016","South Carolina",Santee,"Clark St and Old State Rd",0,1,N/A
"December 31, 2016",Louisiana,Arabi,"800 block of Schnell Dr",0,1,N/A
"December 31, 2016","South Carolina",Santee,"Clark Street and Old State Road",0,1,N/A
"December 31, 2016",Louisiana,"New Orleans (Jefferson)",N/A,0,1,N/A
"December 31, 2016",Texas,Austin,"6th and Brazos",0,1,N/A
"December 31, 2016",Louisiana,"Covington (Claiborne)","Green Road",0,1,N/A
"December 31, 2016",Texas,Houston,N/A,0,0,N/A
"December 31, 2016","North Carolina","Burke (county)","Havenwood Drive",0,1,N/A
"December 31, 2016",Arizona,Phoenix,"39th Avenue and McDowell Road",0,2,N/A
"December 31, 2016",Washington,Kennewick,"S Jean Street",0,1,N/A
"December 31, 2016",Indiana,Laurel,"13246 IN 121",0,1,N/A
"December 31, 2016",Texas,Dallas,N/A,0,1,N/A
"December 31, 2016",Texas,"Fort Worth",N/A,0,1,N/A
"December 30, 2016",Georgia,"Webster (county)",N/A,1,0,N/A
"December 30, 2016","Rhode Island",Coventry,"211 Williams Crossing Road",0,1,N/A
"December 30, 2016",Illinois,"Dundee (West Dundee)","150 Short St",0,0,N/A
"December 30, 2016",Maryland,"Capitol Heights","White Pearl Place and Pepper Mill Rd",1,0,N/A
